  -2.317497906586571  -4.861757182344379  -7.203437277937646  -9.342315668491116 -11.295188647239810 -13.078197003948480 -14.706114813400168 -16.192432419954901 -17.549466646638393 -18.788462902493233
  -2.084377504760365  -4.618865928887386  -6.960160170015265  -9.099046640277338 -11.051929003027386 -12.834940907364922 -14.462859965584320 -15.949178011208891 -17.306212393361584 -18.545208704666535
  -2.295992508144741  -4.842176710189130  -7.184022052820997  -9.322930623275393 -11.275812025944806 -13.058823036782446 -14.686741717579061 -16.173059617156046 -17.530093944195894 -18.769090234930950
  -2.152415371469013  -4.689765105209551  -7.031117904376908  -9.169978700149523 -11.122849550948672 -12.905857210571545 -14.533774740556717 -16.020092237049568 -17.377126421468073 -18.616122661344804
  -2.245802281818925  -4.786733187750121  -7.128311252033406  -9.267202667018134 -11.220082121133938 -13.003092750822486 -14.631011340719445 -16.117329218068534 -17.474363539871998 -18.713359829487430
  -2.161708234540671  -4.698439109352471  -7.039832883364313  -9.178719429581028 -11.131599708845558 -12.914610688309461 -14.542529393329637 -16.028847309395900 -17.385881644767384 -18.624877939282126
  -2.138459152271654  -4.673595654497270  -7.014891708530096  -9.153765293458861 -11.106641755635327 -12.889651317080277 -14.517569478042368 -16.003887185340961 -17.360921440956137 -18.599917705145881
  -2.230091209927417  -4.771720226216099  -7.113318022829852  -9.252204687894670 -11.205081623756092 -12.988091234774998 -14.616009429599389 -16.102327155938298 -17.459361420491444 -18.698357688520844
  -2.108667068659392  -4.641322194359882  -6.982504993265541  -9.121377321356224 -11.074255758641037 -12.857266272612881 -14.485184817919151 -15.971502673065803 -17.328536984388482 -18.567533269349521
  -2.157991167948841  -4.696025697005686  -7.037507051270011  -9.176407548147568 -11.129292136711511 -12.912304662274879 -14.540223931395374 -16.026542053395090 -17.383576463961163 -18.622572785960998
  -2.050307261461506  -4.581146513572151  -6.922249596373751  -9.061119537340371 -11.013998217417148 -12.797008859378868 -14.424927456698359 -15.911245333832662 -17.268279654552028 -18.507275943473640
  -2.264901821642340  -4.806968576267455  -7.148604759319339  -9.287498703970357 -11.240377796057114 -13.023388141365043 -14.651306598963902 -16.137624421580821 -17.494658721837396 -18.733655003184090
  -2.471791002696769  -5.022998772585814  -7.365094073447628  -9.504021124521646 -11.456906340683709 -13.239918712509073 -14.867837910623393 -16.354156004454918 -17.711190403583455 -18.950186720900223
  -2.054970654403705  -4.588927890786327  -6.930208637633238  -9.069098502765600 -11.021982326097463 -12.804994699341348 -14.432913898165989 -15.919231984261474 -17.276266377587298 -18.515262691812840
